"","...1","site","date","city","county","state","lat","lng","n_post","upvotes","n_comment","stars","reviews","type","introduce","review","url","hot"
"1",0,"One World Observatory",2022-12-20 21:43:23,"Manhattan","New York","New York",40.7834,-73.9662,250,87037,11328,4.7,16675,"Tourist attraction","Observatory located on floors 100-102 of One World Trade Center, with exhibits & restaurants.","[""  Great views of the city at this historic and iconic location. It's expensive - $50 for the cheapest ticket. The elevator ride up is very cool with a chronological three-sided video of a time lapse of the development of Manhattan. on the way … "", '  The One World Observatory was one of the highlights of our visit to New York. After entering and security, you go through some great interactive exhibits showcasing some of the best bits of New York. It’s a great prelude to the view which … ', '  We are speechless to describe the experience of this place.  Incredible, wonderful, fantastic!  The experience already starts in the elevator.  And the amazing view from the top is spectacular!  What made us choose this observatory was the … ']","https://www.google.com.tw/maps/place/One+World+Observatory/data=!4m7!3m6!1s0x89c25a1bd03f614d:0x8fe352941f469354!8m2!3d40.7130062!4d-74.013173!16s%2Fg%2F11b7l9dh6l!19sChIJTWE_0BtawokRVJNGH5RS448?authuser=0&hl=en&rclk=1",9.18002123604219
"2",1,"Times Square",2022-12-20 21:43:23,"Manhattan","New York","New York",40.7834,-73.9662,250,3241,4184,4.7,185314,"Plaza","Bustling destination in the heart of the Theater District known for bright lights, shopping & shows.","['  Had a great time here at Times Square, I am happy that there is a big Police presence here so that nobody gets way out of line. FYI… don’t go to Times Square if you cannot stand being around a lot of people. This place gets busy even on a weekday/ weeknight.!! Fun times though, highly recommended if you’ve never been here. ', '  I loved going to Time Square at night.  It was really nice and everyone was doing their own thing,  lots of people there but there were no issues or trouble.  There are lots of cool stores to shop at,  lots of eateries even off the main … ', '  My first visit to Times square and it was bustling, busy, full of people, and I must have heard no less than 10 different languages being spoken within a three block radius. Everyone was happy, and a good place, the street performers were … ']","https://www.google.com.tw/maps/place/Times+Square/data=!4m7!3m6!1s0x89c25855c6480299:0x55194ec5a1ae072e!8m2!3d40.7579747!4d-73.9855426!16zL20vMDdxZHI!19sChIJmQJIxlVYwokRLgeuocVOGVU?authuser=0&hl=en&rclk=1",3.87947811295272
"3",2,"Top of The Rock",2022-12-20 21:43:23,"Manhattan","New York","New York",40.7834,-73.9662,249,1e+05,27919,4.7,46831,"Observation deck","Observatory on top of Rockefeller Center, with an ocean-liner style design, offering city views.","['  I loved this entire experience. Staff were very helpful from start to end and the views! Oh the views were stunning and that was an understatement. Each of the 3 observation decks gives a new perspective and more photo opportunities. … ', ""  This place offered some pretty amazing views of NYC. If you don't mind spending the money to go into this place, then it is pretty worth it.  I definitely recommend scheduling your date and time before just showing up. We did spend a good … "", '  There was almost no wait, the staff was friendly. Visibility was poor that day because it rained but it made for beautiful photos of the skyline and gave a magical look to everything. The gift shop was not too expensive although the … ']","https://www.google.com.tw/maps/place/Top+of+The+Rock/data=!4m7!3m6!1s0x89c258ff31cabb7b:0xda17e23e0f1fc620!8m2!3d40.7593495!4d-73.9794087!16s%2Fg%2F11cmgnblyq!19sChIJe7vKMf9YwokRIMYfDz7iF9o?authuser=0&hl=en&rclk=1",9.98530212956747
"4",3,"Rockefeller Center",2022-12-20 21:43:23,"Manhattan","New York","New York",40.7834,-73.9662,22,496,349,4.7,153896,"Historical landmark","Famous complex that's home to TV studios, plus a seasonal ice rink & giant Christmas tree.","['  Took the center tour. Did not realize the number of buildings and the art adorning them. Very insightful. Then to the top of the rock. Three observation deck levels. What an amazing view. And, from the very top level, the view is 360. Great way to spend an afternoon in New York City. ', '  Everything from the entrance to the ride to the top was welcoming and impressive.   Original art deco  finishes still impress.  Took a tour, well worth the money. … ', '  It’s absolutely chaotic and the crowds are crazy around Christmas time. One who lives in NYC normally avoids places like this but seeing this damn tree is a magical experience that makes you feel all warm and fuzzy inside. Especially when … ']","https://www.google.com.tw/maps/place/Rockefeller+Center/data=!4m7!3m6!1s0x89c258fecf664df5:0x33d224a0d5dacca2!8m2!3d40.7587402!4d-73.9786736!16zL20vMDE2M2Zm!19sChIJ9U1mz_5YwokRosza1aAk0jM?authuser=0&hl=en&rclk=1",0.354727790179306
"5",4,"Empire State Building",2022-12-20 21:43:23,"Manhattan","New York","New York",40.7834,-73.9662,250,17839,18403,4.7,86979,"Tourist attraction","Iconic, art deco office tower from 1931 with exhibits & observatories on the 86th & 102nd floors.","['  Amazing art deco building absolutely loved it inside and out. The building is so beautiful and has been respectfully modernised so that you can barely notice.\nThe journey to the observatory has a wealth of historical information on the … ', '  Best experience ever!!!\n\nSo I got gifted a chance to go to the 80, 86, and 102 floors at sunset. Best … ', '  Just an amazing experience. I loved the way they captured the history of the building. The workers were extremely polite and helpful and welcoming.\nThen you have the views. Ya gotta plan for a clear day otherwise your just gonna … ']","https://www.google.com.tw/maps/place/Empire+State+Building/data=!4m7!3m6!1s0x89c259a9b3117469:0xd134e199a405a163!8m2!3d40.7484405!4d-73.9856644!16zL20vMDJuZF8!19sChIJaXQRs6lZwokRY6EFpJnhNNE?authuser=0&hl=en&rclk=1",4.80287933151757
"6",5,"Flatiron Building",2022-12-20 21:43:23,"Manhattan","New York","New York",40.7834,-73.9662,4,14,39,4.6,11325,"Tourist attraction","Architect Daniel Burnham's iconic 1902 triangular tower nicknamed for its clothes iron look.","[""  Very cool building to have a look at and it is quite an old one aswell. It's unique shape let's it stand out from the other buildings around. Not sure if it is worth a big detour to see it, however, if you are in the area you can go and … "", '  Building magnate Amos Ano set up a projecting screen with magic lanterns on a building  at the precise spot where later the\nFlatiron skyscraper would be built in 1902. Locals continued to refer to the building as the Flatiron building ever since. Very interesting perspective. ', '  In November, unfortunately, I was not lucky enough to be able to admire this building in all its beauty. The building is under construction, which is good because it means that when the work is completed, it will be more beautiful than before. I will definitely come back to see it free from the scaffolding! ']","https://www.google.com.tw/maps/place/Flatiron+Building/data=!4m7!3m6!1s0x89c259a3f71c1f67:0xde2a6125ed704926!8m2!3d40.7410605!4d-73.9896986!16zL20vMDFsbmQz!19sChIJZx8c96NZwokRJklw7SVhKt4?authuser=0&hl=en&rclk=1",0.0596770562649785
"7",6,"Tenement museum",2022-12-20 21:43:23,"Manhattan","New York","New York",40.7834,-73.9662,7,20,68,4.6,3884,"Museum","1863 preserved tenement building brings Lower East Side immigrant stories to life with guided tours.","['  Extremely interesting museum. Tour was fascinating and going through the old tenement building dynamite. Very good bookstore and the movie that runs on a loop was very interesting. … ', '  I cannot say enough good things about this place! The reconstructed spaces and knowledgeable and passionate staff really brought history to life in a unique and tangible way. I loved it so much that I returned for the second tour. I hope other places in the world use this as a model. What a treasure! ', '  Amazing place to visit, the did a great job, a lot story of History.\nI highly recommend if you interested about the immigrants history, especially Italian Immigrants. ']","https://www.google.com.tw/maps/place/Tenement+museum/data=!4m7!3m6!1s0x89c2598725d546db:0xcd60e6fdb0de8e84!8m2!3d40.718818!4d-73.9900876!16zL20vMDhsM2Ry!19sChIJ20bVJYdZwokRhI7esP3mYM0?authuser=0&hl=en&rclk=1",0.104150199506078
"8",7,"Bryant Park",2022-12-20 21:43:23,"Manhattan","New York","New York",40.7834,-73.9662,12,45,227,4.7,76260,"Park","Green space behind the NY Public Library's main branch, with 4 acres, a cafe and other food kiosks.","['  The holiday shops were nice to visit. Great places to pick up gifts for family and friends or a little something for yourself. … ', ""  This is a great park with a lot to offer. It's not huge but provides a nice outdoor space in the middle of the city. The views of the surrounding buildings are beautiful. The seating areas are abundant. There are fountains, gardens, statues, and lots of green space. A great spot to get some fresh air! "", ""  Very nice park in the middle of Manhattan. The movie nights during summer are so cool, best open cinema I've ever been to. During the day you can just sit outside, enjoy a coffee or read a book. I love this place! ""]","https://www.google.com.tw/maps/place/Bryant+Park/data=!4m7!3m6!1s0x89c259aae7a0b1bd:0xb49cafb82537f1a7!8m2!3d40.7535965!4d-73.9832326!16zL20vMDN2Z2Rf!19sChIJvbGg56pZwokRp_E3JbivnLQ?authuser=0&hl=en&rclk=1",0.179220934766691
"9",8,"The High Line",2022-12-20 21:43:23,"Manhattan","New York","New York",40.7834,-73.9662,250,1e+05,14818,4.7,50065,"Park","Popular park 30 feet above street level on an old rail line, with river & city views.","['  This place is wonderful.  Inspired,  and free to walk across.  It is an oasis of calm above a very bustling city. We entered it at the end where the vessel is,  this is a very interesting piece of architecture,  and we walked to Chelsea … ', ""  Excellent! I wasn't sure I wanted to go when my wife told me about it but I'm so glad we did! Gorgeous views, great walk after eating a big breakfast on the go, and the whole vibe is surreal! It's like walking in the future, the way the foliage meets the surrounding architecture. "", ""  I would like to rate this place 5 stars. I did really enjoy visiting the high line. From the start to the end lasted about 20-25 minutes walk. It's a touristy place. You can easily get there with public transport. Walk with friends would be fun. Take good pictures with New York skyline. Moreover, it's free. ""]","https://www.google.com.tw/maps/place/The+High+Line/data=!4m7!3m6!1s0x89c259c7840fb4e5:0x583f615c850a3c91!8m2!3d40.7479925!4d-74.0047649!16zL20vMDdqd3dm!19sChIJ5bQPhMdZwokRkTwKhVxhP1g?authuser=0&hl=en&rclk=1",10
"10",9,"American museum of Natural History",2022-12-20 21:43:23,"Manhattan","New York","New York",40.7834,-73.9662,250,92397,17000,4.6,15831,"Museum","From dinosaurs to outer space and everything in between, this huge museum showcases natural wonders.","[""  One of the best museums I've been to. You'll need a map, you can easily spend the whole day here. The gem/geode collection was beautiful, the dinosaur exhibit was so cool and had a lot of real fossils/bones. Loved seeing the different animal species. Also the sea creature exhibit was beautifully laid out!!!! "", ""  The best ever!! You will need a map and also a full day to finish it all , One of the best museums I've been to., The gem/geode collection was beautiful, the dinosaur exhibit was so big and had a lot of real fossils/bones. Loved seeing the different animal species. Also the sea creature exhibit was awesome � … "", '  This museum is absolutely awesome if you are interested in history, space, animals, and rocks. … ']","https://www.google.com.tw/maps/place/American+museum+of+Natural+History/data=!4m7!3m6!1s0x89c258f4b00f7a09:0xa27d8172624c5db1!8m2!3d40.7813241!4d-73.9739882!16zL20vMDIzcjlq!19sChIJCXoPsPRYwokRsV1MYnKBfaI?authuser=0&hl=en&rclk=1",9.5190697722463
